id,token,lemma,upos,sentence_id
1082001497217527808,Tomio,Tomio,PROPN,1
1082001497217527808,Okamura,Okamura,PROPN,1
1082001497217527808,:,:,PUNCT,1
1082001497217527808,Tomio,Tomio,PROPN,1
1082001497217527808,Okamura,Okamura,PROPN,1
1082001497217527808,ve,v,ADP,1
1082001497217527808,vysílání,vysílání,NOUN,1
1082001497217527808,Svobodného,svobodný,ADJ,1
1082001497217527808,rádia,rádio,NOUN,1
1082001497217527808,:,:,PUNCT,1
1082001497217527808,prostřednictvím,prostřednictví,NOUN,1
1082001497217527808,@,@,PUNCT,1
1082001497217527808,YouTube,YouTube,PROPN,2
1081505342012280832,Tomio,Tomio,PROPN,1
1081505342012280832,Okamura,Okamura,PROPN,1
1081505342012280832,:,:,PUNCT,1
1081505342012280832,Konec,konec,NOUN,1
1081505342012280832,mise,mise,NOUN,1
1081505342012280832,v,v,ADP,1
1081505342012280832,Afghánistánu,Afghánistán,PROPN,1
1081505342012280832,:,:,PUNCT,1
1081505342012280832,prostřednictvím,prostřednictví,NOUN,1
1081505342012280832,@,@,PUNCT,1
1081505342012280832,YouTube,YouTube,PROPN,2
1081120637723193344,Tomio,Tomio,PROPN,1
1081120637723193344,Okamura,Okamura,PROPN,1
1081120637723193344,:,:,PUNCT,1
1081120637723193344,Vláda,vláda,NOUN,1
1081120637723193344,kapitulovala,kapitulovat,VERB,1
1081120637723193344,:,:,PUNCT,1
1081120637723193344,prostřednictvím,prostřednictví,NOUN,1
1081120637723193344,@,@,PUNCT,1
1081120637723193344,YouTube,YouTube,PROPN,2
1080941934208794624,Tomio,Tomio,PROPN,1
1080941934208794624,Okamura,Okamura,PROPN,1
1080941934208794624,:,:,PUNCT,1
1080941934208794624,Multikulturní,Multikulturní,ADJ,1
1080941934208794624,násilí,násilí,NOUN,1
1080941934208794624,:,:,PUNCT,1
1080941934208794624,prostřednictvím,prostřednictví,NOUN,1
1080941934208794624,@,@,PUNCT,1
1080941934208794624,YouTube,YouTube,PROPN,2
1080751256090673152,Tomio,Tomio,PROPN,1
1080751256090673152,Okamura,Okamura,PROPN,1
1080751256090673152,:,:,PUNCT,1
1080751256090673152,ODS,ODS,PROPN,1
1080751256090673152,je,být,VERB,1
1080751256090673152,pro,pro,ADP,1
1080751256090673152,EU,EU,PROPN,1
1080751256090673152,:,:,PUNCT,1
1080751256090673152,prostřednictvím,prostřednictví,NOUN,1
1080751256090673152,@,@,PUNCT,1
1080751256090673152,YouTube,YouTube,PROPN,2
1080565477519380480,Tomio,Tomio,PROPN,1
1080565477519380480,Okamura,Okamura,PROPN,1
1080565477519380480,:,:,PUNCT,1
1080565477519380480,Vlastenecký,vlastenecký,ADJ,1
1080565477519380480,song,song,NOUN,1
1080565477519380480,:,:,PUNCT,1
1080565477519380480,prostřednictvím,prostřednictví,NOUN,1
1080565477519380480,@,@,PUNCT,1
1080565477519380480,YouTube,YouTube,PROPN,2
1080028601834123264,Tomio,Tomio,PROPN,1
1080028601834123264,Okamura,Okamura,PROPN,1
1080028601834123264,:,:,PUNCT,1
1080028601834123264,Krásný,krásný,ADJ,1
1080028601834123264,a,a,CCONJ,1
1080028601834123264,úspěšný,úspěšný,ADJ,1
1080028601834123264,rok,rok,NOUN,1
1080028601834123264,2019,2019,NUM,1
1080028601834123264,!,!,PUNCT,1
1080028601834123264,:,:,PUNCT,1
1080028601834123264,prostřednictvím,prostřednictví,NOUN,1
1080028601834123264,@,@,PUNCT,1
1080028601834123264,YouTube,YouTube,PROPN,2
1078936891565764608,Tomio,Tomio,PROPN,1
1078936891565764608,Okamura,Okamura,PROPN,1
1078936891565764608,:,:,PUNCT,1
1078936891565764608,Češi,Čech,PROPN,1
1078936891565764608,do,do,ADP,1
1078936891565764608,německé,německý,ADJ,1
1078936891565764608,Waffen,Waffen,ADJ,1
1078936891565764608,SS,SS,PROPN,1
1078936891565764608,:,:,PUNCT,1
1078936891565764608,prostřednictvím,prostřednictví,NOUN,1
1078936891565764608,@,@,PUNCT,1
1078936891565764608,YouTube,YouTube,PROPN,2
1078679053148794880,Tomio,Tomio,PROPN,1
1078679053148794880,Okamura,Okamura,PROPN,1
1078679053148794880,:,:,PUNCT,1
1078679053148794880,Protibělošský,Protibělošský,ADJ,1
1078679053148794880,rasismus,rasismus,NOUN,1
1078679053148794880,:,:,PUNCT,1
1078679053148794880,prostřednictvím,prostřednictví,NOUN,1
1078679053148794880,@,@,PUNCT,1
1078679053148794880,YouTube,YouTube,PROPN,2
1078677320012046336,Tomio,Tomio,PROPN,1
1078677320012046336,Okamura,Okamura,PROPN,1
1078677320012046336,:,:,PUNCT,1
1078677320012046336,Demonstrace,demonstrace,NOUN,1
1078677320012046336,v,v,ADP,1
1078677320012046336,Itálii,Itálie,PROPN,1
1078677320012046336,:,:,PUNCT,1
1078677320012046336,prostřednictvím,prostřednictví,NOUN,1
1078677320012046336,@,@,PUNCT,1
1078677320012046336,YouTube,YouTube,PROPN,2
1078283006715052032,Tomio,Tomio,PROPN,1
1078283006715052032,Okamura,Okamura,PROPN,1
1078283006715052032,:,:,PUNCT,1
1078283006715052032,Jsme,být,VERB,1
1078283006715052032,odpadkový,odpadkový,ADJ,1
1078283006715052032,koš,koš,NOUN,1
1078283006715052032,Západu,západ,NOUN,1
1078283006715052032,:,:,PUNCT,1
1078283006715052032,prostřednictvím,prostřednictví,NOUN,1
1078283006715052032,@,@,PUNCT,1
1078283006715052032,YouTube,YouTube,PROPN,2
1077996017163878400,Sváteční,sváteční,ADJ,1
1077996017163878400,večer,večer,NOUN,1
1077996017163878400,",",",",PUNCT,1
1077996017163878400,padesátka,padesátka,NOUN,1
1077996017163878400,na,na,ADP,1
1077996017163878400,krku,krk,NOUN,1
1077996017163878400,a,a,CCONJ,1
1077996017163878400,bench,bench,NOUN,1
1077996017163878400,105,105,NUM,1
1077291737985572864,V,v,ADP,1
1077291737985572864,nejužším,úzký,ADJ,1
1077291737985572864,rodinném,rodinný,ADJ,1
1077291737985572864,kruhu,kruh,NOUN,1
1077291737985572864,i,i,CCONJ,1
1077291737985572864,s,s,CONJ,1
1077291737985572864,fenkou,fenka,NOUN,1
1077291737985572864,Hessy,Hessa,PROPN,1
1077291737985572864,.,.,PUNCT,1
1077291737985572864,Přeji,přát,VERB,2
1077291737985572864,vám,ty,PRON,2
1077291737985572864,krásný,krásný,ADJ,2
1077291737985572864,Štědrý,štědrý,ADJ,2
1077291737985572864,večer,večer,NOUN,2
1077114053238157312,Tomio,Tomio,PROPN,1
1077114053238157312,Okamura,Okamura,PROPN,1
1077114053238157312,:,:,PUNCT,1
1077114053238157312,Vánoční,vánoční,ADJ,1
1077114053238157312,projev,projev,NOUN,1
1077114053238157312,:,:,PUNCT,1
1077114053238157312,prostřednictvím,prostřednictví,NOUN,1
1077114053238157312,@,@,PUNCT,1
1077114053238157312,YouTube,YouTube,PROPN,2
1077112718648401920,Tomio,Tomio,PROPN,1
1077112718648401920,Okamura,Okamura,PROPN,1
1077112718648401920,:,:,PUNCT,1
1077112718648401920,Vánoční,vánoční,ADJ,1
1077112718648401920,tradice,tradice,NOUN,1
1077112718648401920,a,a,CCONJ,1
