id,name,created,text,source,lajku,retweetu,original
1070764053478473728,tomio_cz,2018-12-06T19:36:58Z,Tomio Okamura: Hnutí SPD podpořilo snížení DPH na jízdenky:  prostřednictvím @YouTube,Google,11,3,TRUE
1070593699334275072,tomio_cz,2018-12-06T08:20:03Z,Tomio Okamura: Přísná imigrační politika:  prostřednictvím @YouTube,Google,12,4,TRUE
1070403716681994240,tomio_cz,2018-12-05T19:45:07Z,Toomio Okamura: Tomio Okamura na Svobodném vysílači:  prostřednictvím @YouTube,Google,10,3,TRUE
1070217406449102849,tomio_cz,2018-12-05T07:24:48Z,Tomio Okamura: Chybný státní rozpočet:  prostřednictvím @YouTube,Google,8,5,TRUE
1070057321483644929,tomio_cz,2018-12-04T20:48:40Z,"Dnes zveřejněný žebříček důvěry politikům podle agentury CVVM - ať si o pravdivosti myslíme co chceme, dovolte mi poděkovat za vaši důvěru, velmi si vážím třetího místa a slibuji, že budu nadále ze všech sil prosazovat politický program, který jsem slíbil. Přeji hezký den ",Twitter for iPad,40,7,TRUE
1070046857802334209,tomio_cz,2018-12-04T20:07:06Z,Tomio Okamura: Státního zastupitelství smetlo ze stolu všechna trestní oznámení na moji osobu: ,Google,20,7,TRUE
1069998216261894144,tomio_cz,2018-12-04T16:53:49Z,Tomio Okamura: Francouzské protesty:  prostřednictvím @YouTube,Google,12,5,TRUE
1069880707466448896,tomio_cz,2018-12-04T09:06:52Z,Tomio Okamura: Špatný dotační systém:  prostřednictvím @YouTube,Google,13,6,TRUE
1069874475427119105,tomio_cz,2018-12-04T08:42:06Z,Tomio Okamura: Strmý nárůst úředníků:  prostřednictvím @YouTube,Google,14,5,TRUE
1069518927234035713,tomio_cz,2018-12-03T09:09:17Z,Tomio Okamura: Konec českého cukru:  prostřednictvím @YouTube,Google,13,5,TRUE
1069303920915148802,tomio_cz,2018-12-02T18:54:56Z,Tomio Okamura: Konec České televize:  prostřednictvím @YouTube,Google,32,6,TRUE
1069301753865256960,tomio_cz,2018-12-02T18:46:19Z,Tomio Okamura: Totální manipulace:  prostřednictvím @YouTube,Google,13,4,TRUE
1068949607068196864,tomio_cz,2018-12-01T19:27:01Z,Tomio Okamura: Rozhovor se švýcarským novinářem pro server Les Observateurs:  prostřednictvím @YouTube,Google,18,5,TRUE
1068596814717300736,tomio_cz,2018-11-30T20:05:08Z,Tomio Okamura: Zvýšení důchodů:  prostřednictvím @YouTube,Google,14,4,TRUE
